Time (ms),dTime (ms),Timestamp (ms),Timecode (ms),X resolution,Y resolution,frame type,frame-rate,aspect-ratio,codec
18:26:58.340,20.0,16512568158570686,16512568158570686,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.360,20.1,16512568158770677,16512568158770677,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.380,19.8,16512568158970684,16512568158970684,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.400,20.7,16512568159170664,16512568159170664,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.419,18.5,16512568159370695,16512568159370695,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.440,21.0,16512568159570684,16512568159570684,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.460,19.8,16512568159770685,16512568159770685,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.481,21.0,16512568159970655,16512568159970655,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.500,19.1,16512568160170684,16512568160170684,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.519,19.2,16512568160370675,16512568160370675,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.540,20.9,16512568160570650,16512568160570650,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.561,20.8,16512568160770646,16512568160770646,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.580,19.2,16512568160970650,16512568160970650,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.600,19.9,16512568161170645,16512568161170645,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.619,19.3,16512568161370636,16512568161370636,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.640,21.3,16512568161570614,16512568161570614,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.660,19.5,16512568161770615,16512568161770615,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.680,20.1,16512568161970634,16512568161970634,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.700,19.8,16512568162170620,16512568162170620,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.720,19.8,16512568162370616,16512568162370616,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.740,20.1,16512568162570584,16512568162570584,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.760,20.0,16512568162770598,16512568162770598,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.780,20.1,16512568162970601,16512568162970601,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.800,20.8,16512568163170554,16512568163170554,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.819,18.3,16512568163370582,16512568163370582,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.840,21.1,16512568163570577,16512568163570577,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.859,19.4,16512568163770552,16512568163770552,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.881,21.3,16512568163970545,16512568163970545,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.900,19.2,16512568164170540,16512568164170540,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.919,19.3,16512568164370565,16512568164370565,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.940,20.2,16512568164570516,16512568164570516,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.960,20.8,16512568164770508,16512568164770508,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:58.980,19.2,16512568164970537,16512568164970537,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.000,20.0,16512568165170522,16512568165170522,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.019,19.2,16512568165370534,16512568165370534,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.040,21.7,16512568165570490,16512568165570490,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.060,19.3,16512568165770511,16512568165770511,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.080,20.4,16512568165970506,16512568165970506,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.100,19.9,16512568166170485,16512568166170485,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.120,19.8,16512568166370476,16512568166370476,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.140,20.0,16512568166570480,16512568166570480,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.160,20.0,16512568166770512,16512568166770512,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
